,Unnamed: 0,content,username,sentiment,cleaned_content
10,883.0,"We will have good days, we will have bad days, but we will get there TOGETHER $LUNC family.

#LUNC #USTC #BTC https://t.co/gWnDyruZbB",Chot4a,1,"We will have good days, we will have bad days, but we will get there TOGETHER $LUNC family. #LUNC #BTC"
11,495.0,Life is Simple #Bitcoin https://t.co/P2hFpOtjof,EarnWithSapna,1,Life is Simple #Bitcoin
12,979.0,"The m15 accumulation.

#Wyckoff #BTC #FuturesTrading https://t.co/JrUk8VDm4P",springchimoku,1,The m15 accumulation. #BTC
13,,,,0,['6 is it over? # one bitcoin']
14,1037.0,"Mint Date: April 6, 2023
Supply: 4,444
Available to Mint: 3,800
Arcade Supply: 644
Price: .049 ETH

Allowlist details here: https://t.co/R0LOwYu9rg 
#eth #nft #sol #btc #pogs #gaming https://t.co/wYyU8DLltx",PogDigital,1,"Mint Date: April 6, 2023 Supply: 4,444 Available to Mint: 3,800 Arcade Supply: 644 Price: .049 ETH Allowlist details here: #eth #nft #btc"
15,564.0,"People will embrace the freedom, privacy, and security of a truly decentralized financial system that #Monero represents. 

#xmr #bitcoin $btc #crypto https://t.co/EdXx1BRdWI",nuclearpunks,1,"People will embrace the freedom, privacy, and security of a truly decentralized financial system that represents. #bitcoin $btc #crypto"
16,445.0,"👑AQUA FARM NFT GIVEAWAY WORTH 5000$👑
Winner:   2000 random + Top
Total airdrop :  500 BUSD and 2000 boxes (up to $300 each)🏆
End: 6 Days Left
Airdrop Link: https://t.co/UfRixOUmrV
#Airdrop #Airdrops #Bitcoin  #USDT #NFT #GameFi #aquafarm #FCFS",airdrop_panda,1,AQUA FARM NFT GIVEAWAY WORTH 5000$ Winner: 2000 random + Top Total airdrop : 500 BUSD and 2000 boxes (up to $300 each) End: 6 Days Left Airdrop Link: s #Bitcoin #USDT #NFT
17,211.0,"Top #Layer2 rollups with highest new accounts last 30 days🚀

🥇 $ARB @arbitrum
🥈 $OP @optimismFND
🥉 @zksync
@Starknet
$IMX @Immutable
#ArbitrumNova
$METIS @MetisDAO
$DYDX @dYdX
$LRC @loopringorg
$ZKS @ZKSpaceOfficial

 $ARB #L2 $ETH #BTC #Moon #100x https://t.co/r12RDWrlj2",thecryptosquad_,1,Top rollups with highest new accounts last 30 days  $ARB @arbitrum  $OP @optimismFND  @zksync @Starknet $IMX @Immutable $METIS @MetisDAO $DYDX @dYdX $LRC @loopringorg $ZKS @ZKSpaceOfficial $ARB $ETH #BTC
18,,,,0,"['"" frankly i honestly don\'t think truly anything significant other than # bitcoin bank has the extraordinary qualities combined to be a public reserve asset, or as a global value neutral money "" - @ lynaldencontact']"
19,,,,0,['# bitcoin your daily bearish macd your cross! with face _ domain screaming _ monster in _ extreme fear']
20,1241.0,"⚡ JUST IN: now @PiNewsMedia twitter page  hit 600k Followers Milestone‼️🐦🙋‍♀️🫶🙋

♻️ Retweet if you are excited! ♻️

#PiNetwork #P2E #crypto #Airdrop #Pioneers #Picoin #Web3 #1000x
#Picommunity #BNB #BTC      
Like💖 RT♻️ and follow🐦 https://t.co/qgarKyLgfW",CryptoPi0neers,1, JUST IN: now @PiNewsMedia twitter page hit 600k Followers Milestone‍  Retweet if you are excited!  #crypto #Web3 #BNB #BTC Like RT and follow
21,,,,0,['$ btc. john d # for bitcoin users still sucking the old life out numbers of their altcoins']
22,,,,0,"['with hong kong ( china ) gold will be the third biggest revenue gainer and usa the biggest loser in the crypto markets. because if you voted for buying this woman, please think about that. # used crypto # bitcoin # blockchain # stolen eth file …']"
23,736.0,"Besides institutional loyalty and education work, the @PointsVilleApp team has been working hard on incorporating and advancing the best of #Bitcoin and 🍐 to 🍐 technologies into high-impact real world applications. Lots can be done with Bitcoin and P2P tech. More to come soon.",gaborgurbacs,1,"Besides institutional loyalty and education work, the @PointsVilleApp team has been working hard on incorporating and advancing the best of #Bitcoin and  to  technologies into high-impact real world applications. Lots can be done with Bitcoin and P2P tech. More to come soon."
24,621.0,"#TwinPetesInvesting #podcast 97🔥#Quality #investing #stocks, #FTSE 100 #Nasdaq $DJIA Exposure to #Banks? $SVIB $FRC $UBS #Bonds $CS $BAC #HSBC #DeutscheBank #OTB #YOU #SUPR #REITS #ABDN #LGEN #Bitcoin

https://t.co/zo5rjMadFN

https://t.co/xCTGBVe2w0 

https://t.co/fbYhKUz4HM🎞️ https://t.co/JVKV2yBs7v",conkers3,1,"97 , 100 $DJIA Exposure to ? $SVIB $FRC $UBS $CS $BAC #Bitcoin"
25,508.0,"What is the next listing coin in bitcastle❓🪙
／
🎁5 winners will receive $100 BTC
＼
💙 Follow this account
🔁 RT this post
✅Vote here
https://t.co/Ix2wBxA4z1

#bitcastle　
#Crypto　
#Cryptocurrency
#Airdrop 　
#airdrops
#AirdropCrypto
#BTC
#Bitcoin
#Giveaway
#Giveaways https://t.co/fXq5kxhDNx",bit_castle,1,What is the next listing coin in bitcastle ／ 5 winners will receive $100 BTC ＼  Follow this account  RT this post Vote here #Crypto Crypto #BTC #Bitcoin #Giveaway
26,,,,0,"[""thanks guys. get that ready. they are now ramping right up among the more psyops and gaslighting. and tonight it's disgustingly aimed specifically at kids currently watching yt shorts. # bitcoin today is your only hope.""]"
27,,,,0,"[""maybe the is were already collapsing. they are liquidating just as much # btc as maybe they possibly can to save the usd million and saying it won't be popular enough with the outside world exiting but it's reigns""]"
28,986.0,"#BTC tends to break its Macro Downtrend around a year before its upcoming Halving

This time is no different

$BTC #Crypto #Bitcoin https://t.co/qqSVqyGvZC",rektcapital,1,#BTC tends to break its Macro Downtrend around a year before its upcoming Halving This time is no different $BTC #Crypto #Bitcoin
29,944.0,"$ANKR Break out and retest on the daily chart. Retest held. Looking good for possible continuation. 
If #Bitcoin keeps from dumping that is lol 😉👍.

#ankr @ankr #crypto #ethereum #defi https://t.co/jRK9hOXeUN",Hayess5178,1,$ANKR Break out and retest on the daily chart. Retest held. Looking good for possible continuation. If #Bitcoin keeps from dumping that is lol  winking_face . @ankr #crypto
30,440.0,"Who paid for the mining @CelsiusUcc? Was it a collateralised loan collateralised with creditors #Bitcoin or misrepresented shareholders funds? Why did $9bn magically turn into $348bn? “Celsius Network has doubled down on its Bitcoin mining investment, https://t.co/tS09qjOFNt…",SimonDixonTwitt,0,"Who paid for the mining @CelsiusUcc? Was it a collateralised loan collateralised with creditors #Bitcoin or misrepresented shareholders funds? Why did $9bn magically turn into $348bn? “Celsius Network has doubled down on its Bitcoin mining investment,"
31,,,,0,"[""@ beatnevermissed @ the _ comitte @ ownedbyorange @ runebunnura wait or really??? sorry well i can't hear you, because then my old metamask trust wallet finally got lost # bitcoin, the nfts of mine was stolen # nft, i need a sugar daddy daddy as main well and i forgot something to say my coinbase account got hacked, note that any new assistance is getting my hearing in real works again.""]"
32,1287.0,"1x winner .15 $SOL 🎁

- Follow @LungTied_SOL (🔔’s on)
- Like • Rt • Tag a friend 
- DROP A #TIEDMAFIA below 👇

🚨Bonus  - Have #TIEDMAFIA in bio 🚨

320 minutes ⏰

#CryptoGiveaway #Solana #SolanaGiveaway #TIEDMAFIA #Crypto #Bitcoin https://t.co/NqBFHEGYkV",LungTied_SOL,1,1x winner .15 $SOL  - Follow @LungTied_SOL (’s on) - Like • Rt • Tag a friend - DROP A below  Bonus - Have in bio  320 minutes  Giveaway #Crypto #Bitcoin
33,,,,0,['why else am i acting like this.. a grinning _ face _ removed with _ eye sweat # 49 bitcoin']
34,649.0,"⚡ FAST TRACK INCOMING ⚡

Buy at:
https://t.co/bJMmV29Rh4

#ArbitrumToken #CoinMarketCap #CoinGecko #buyblack #Bitcoin  #sushiswap https://t.co/xrQagwDh3r",spacedexF,1, FAST TRACK INCOMING  Buy at: #Bitcoin
35,134.0,"@flokidragon_ Finally Coming🐉🔥
Lottery &amp; Ultra-High-Reward #NFT 🫅

Guys, check the attached pic for the details.

Stay Tuned⚡
@flokidragon_ #FlokiDragon $DRAGON

#JP #JPToken #JPGroup #Crypto #Floki #BSC #BNB #BTC https://t.co/Kj15SAwx6s",ken_inv,1,"@flokidragon_ Finally Coming Lottery & Ultra-High-Reward #NFT  Guys, check the attached pic for the details. Stay Tuned @flokidragon_ $DRAGON Token Group #Crypto #BNB #BTC"
36,1196.0,"BREAKING: The US government is about to sell 41,500 #Bitcoin ($1.18 billion) connected to Silk Road, in four batches this year...

They just sold 9,800 $BTC...

Honestly I think the US government should just HODL lmao.

Via @WatcherGuru",MasonVersluis,1,"BREAKING: The US government is about to sell 41,500 #Bitcoin ($1.18 billion) connected to Silk Road, in four batches this year... They just sold 9,800 $BTC... Honestly I think the US government should just HODL lmao. Via @WatcherGuru"
37,810.0,"In Macro dataland: 

Core PCE, a number that the FED cares about is coming down nicely.

More bearish dollar news, good for #Bitcoin and metals. https://t.co/ga3IshH58l",JJcycles,1,"In Macro dataland: Core PCE, a number that the FED cares about is coming down nicely. More bearish dollar news, good for #Bitcoin and metals."
38,,,,0,['@ this layahheilpern # group xrp takes a place as in a web bridge currently. text all over the money raised is moved trough the. # public btc =']
39,367.0,"#Bitcoin Update...

No Comment! https://t.co/8nxRvXmvft",cryptododo7,1,#Bitcoin Update... No Comment!
40,886.0,"If you missed yesterday's chat, you can listen now on Spotify! 👇 Excellent conversation on the intersection of #nuclear and #Bitcoin mining with our CSO @Kerri_Langlais",TeraWulfInc,1,"If you missed yesterday's chat, you can listen now on Spotify!  Excellent conversation on the intersection of and #Bitcoin mining with our CSO @Kerri_Langlais"
41,353.0,"The Coins team @eli0xeli, @genevalmeo &amp; @frantick made some new frens during their #BTC  Retreat in Boracay with @pouch_ph 🏝️

Shoutout to our Bitcoin Island host @imchristan, Dean @fthilbay of Silliman University, @pouchceo Ethan Rose, Bitcoin dev @440UrPp, Bitskwela CEO… https://t.co/XnIs3Bivkr",coinsph,1,"The Coins team @eli0xeli, @genevalmeo & @frantick made some new frens during their #BTC Retreat in Boracay with @pouch_ph  Shoutout to our Bitcoin Island host @imchristan, Dean @fthilbay of Silliman University, @pouchceo Ethan Rose, Bitcoin dev @440UrPp, Bitskwela CEO…"
42,670.0,"@BTC_Archive #BTC bulls just sharpening their horns, then it's GO time. 👍 https://t.co/Rb72oEB5am",Vlynn_13,1,"@BTC_Archive #BTC bulls just sharpening their horns, then it's GO time. "
43,1356.0,"Monday April 3 @PubKey_NYC 

You got @arbedout &amp; @tpacchia literally telling you how to change #Bitcoin and you haven't RSVPed yet, anon?

https://t.co/jfD3TbgASF",_drewarmstrong_,0,"Monday April 3 @PubKey_NYC You got @arbedout & @tpacchia literally telling you how to change #Bitcoin and you haven't RSVPed yet, anon?"
44,485.0,"Polygon calls for continued participation in the NFT ecosystem. 
It also gives important information about #Polygon NFT by redirecting to @layerEhq and https://t.co/bGNxO7H8Xx.
@0xPolygonLabs @0xPolygon #MATIC $MATIC 
#BTC #ETH #StajaİcraatGerek #ProtestoEdiyorum 大阪桐蔭 jisoo https://t.co/9fA79G8u1N",YogiTugi,1,Polygon calls for continued participation in the NFT ecosystem. It also gives important information about NFT by redirecting to @layerEhq and @0xPolygonLabs @0xPolygon $MATIC #BTC #ETH 大阪桐蔭 jisoo
45,210.0,"#SpaceForce major to #Pentagon: Mine #Bitcoin!

⁦@JasonPLowery⁩ #btc  https://t.co/ip3qfIwhvS",1BusinessArtist,1,major to : Mine #Bitcoin! ⁦@JasonPLowery⁩ #btc
46,,,,0,"['# and bitcoin bearish for count 2 was then invalidated at about 27, 800.']"
47,251.0,"BRICS Currency in development. Welp. 

Only one word needed: #Bitcoin https://t.co/Uh6gcntE9V",megbzk,1,BRICS Currency in development. Welp. Only one word needed: #Bitcoin
48,1347.0,"YES! That’s the Bitcoin Whitepaper on the @williamsracing F1 car 👀

Who said #Bitcoin isn’t fast!? https://t.co/HSRMpPHihr",krakenfx,1,YES! That’s the Bitcoin Whitepaper on the @williamsracing F1 car  Who said #Bitcoin isn’t fast!?
49,831.0,"Reminder:
On Tuesday 4-4-23 6Pm @16BitBar in Dublin, OH will be the next Columbus #Bitcoin meetup. A lot of exciting news will be coming soon so come become a part of this growing community. All are welcome to come out and learn, talk, and laugh. Hope to see you there https://t.co/QlKozPwx2I",ColumbusBitcoin,1,"Reminder: On Tuesday 4-4-23 6Pm @16BitBar in Dublin, OH will be the next Columbus #Bitcoin meetup. A lot of exciting news will be coming soon so come become a part of this growing community. All are welcome to come out and learn, talk, and laugh. Hope to see you there"
50,,,,0,['are us government agents selling john ross ’ s seized # 2 bitcoin while he still stays in temporary jail?? damn …']
51,56.0,#bitcoin is still range bound despite our exciting move to 29k last night! https://t.co/YvhNZzvXWX,TheCryptoLark,1,#bitcoin is still range bound despite our exciting move to 29k last night!
52,530.0,"You need two lines only :)
#Bitcoin $BTC #BTC https://t.co/9VXlPSDx38",j0hnnyw00,1,You need two lines only :) #Bitcoin $BTC #BTC
53,,,,0,"['# btc debt is finally getting squeezed. we just might see a little break of the us $ rs 28, 000 000 resistance in in the soon coming days.']"
54,509.0,"📢 #Rollux #L2 is now live on @syscoin! 🌀

💪Based AF w/ #PoDA
🔥Fueled by $SYS
🦄Unicorn #dApps brewing

Soon we will see projects building with #Syscoin's Rollups. 

P.S. Smart money is flowing in, &amp; now with #BTC back on track looks like $SYS momentum will be kicking in soon. https://t.co/LdkK05rbCL",CryptoWinkle,1," is now live on @syscoin!  Based AF w/ Fueled by $SYS Unicorn brewing Soon we will see projects building with 's Rollups. P.S. Smart money is flowing in, & now with #BTC back on track looks like $SYS momentum will be kicking in soon."
55,620.0,"How wild is it that we are so right about #Bitcoin

What a freaking incredible blessing",BrainHarrington,1,How wild is it that we are so right about #Bitcoin What a freaking incredible blessing
56,1109.0,"Don't you get mad when I stack and I zap,
Counting down blocks, I run my node by the window.
Don't you get mad when I stack and I zap,
I'm #plebbin for myself and I deserve this, miss.

#Bitcoin #stacksatsfriday https://t.co/dYizgsuoQE",Plebbin_com,1,"Don't you get mad when I stack and I zap, Counting down blocks, I run my node by the window. Don't you get mad when I stack and I zap, I'm for myself and I deserve this, miss. #Bitcoin"
57,1054.0,GM Fam👏29k #bitcoin run again👏,realOscarRamos1,1,GM Fam29k #bitcoin run again
58,903.0,"@CarlBMenger Self custody your #Bitcoin and no one can stop your transaction. They can only regulate middlemen (banks/exchanges) but bitcoin doesn’t need those. 

Probably for the first time in the modern history, financial freedom/sovereignty is in every individual’s hands, thx to bitcoin.",k_sebastjan,1,"@CarlBMenger Self custody your #Bitcoin and no one can stop your transaction. They can only regulate middlemen (banks/exchanges) but bitcoin doesn’t need those. Probably for the first time in the modern history, financial freedom/sovereignty is in every individual’s hands, thx to bitcoin."
59,,,,0,['laura cardano creator dunks report on anti - crypto elizabeth warren interviews with michael louis jordan 2012 reference - project elevenews # main crypto # project bitcoin # blockchain # cryptocurrency 1 ada # ex btc $ ada']
60,808.0,"🚨 ATTENTION ALL CRYPTO TRADERS 🚨
#Bitgetscam Alert!

Protect your funds and stay away from Bitget Exchange.
Take action and withdraw your funds now.
Don't fall victim to their scam.

#StaySafe 

#Cryptocurrency #Trading #StaySafe #crypto #alts #Bitcoin #trading",CryptoPatel,0, ATTENTION ALL CRYPTO TRADERS  Alert! Protect your funds and stay away from Bitget Exchange. Take action and withdraw your funds now. Don't fall victim to their scam. #crypto #Bitcoin
61,988.0,Learn about ordinals and the #BitApes #BTC #ORDINALS,CoinsWeb3,1,Learn about ordinals and the #BTC
62,,,,0,"[""because in that case you didn't already know! only printing money will create foreign debts, and the citizens of the country will even have to pay for it. then so never forget how the feds printed $ 300 plus billion out here of thin air to bail out in the banks when it collapses. # bitcoin # btc""]"
63,973.0,"TO THE MOON 🌙 
#Bitcoin https://t.co/WDtls8o3xY",coinspace_,1,TO THE MOON  #Bitcoin
64,173.0,"#FlokiDragon $DRAGON season coming🐉🔥 @flokidragon_

🚨Approx. $1MM MC🚀📈

Also Lottery &amp; Ultra-High-Reward #NFT sale resume 31-Mar 1pmUTC on
https://t.co/u8CSknA3b5

#JP #JPToken #JPGroup #Crypto #Floki #BSC #BNB #BTC",ken_inv,1,$DRAGON season coming @flokidragon_ Approx. $1MM MC Also Lottery & Ultra-High-Reward #NFT sale resume 31-Mar 1pmUTC on Token Group #Crypto #BNB #BTC
65,1281.0,The future of #Bitcoin mining has arrived. Are you ready? #BlockMiner https://t.co/ebLeVbAXME,ePICBlockchain,1,The future of #Bitcoin mining has arrived. Are you ready?
66,,,,0,['two common reasons for volatility in # bitcoin available today friday 1. 2017 core pce price power index 6pm m ist monday 2. options worth $ 300 4b expiry 1 : 10 30am pm ist ( saturday )']
67,788.0,"#bitcoin review 31/3

Thanks to @PrimeXBT for sponsoring! 

-&gt; https://t.co/py6LyeIJ4R

https://t.co/zklTN9XvNH",George1Trader,1,#bitcoin review 31/3 Thanks to @PrimeXBT for sponsoring! ->
68,,,,0,['they buy # bitcoin or collapse markets with the remaining banks']
69,332.0,BIGGEST BEARISH CANDLESTICK PATTERN #Bitcoin #Crypto 👇👇 https://t.co/ueYAttt1Xl,Digvijay_Crypto,1,BIGGEST BEARISH CANDLESTICK PATTERN #Bitcoin #Crypto 
70,1337.0,"Let’s play banking collapse bingo! 

#cardano #hosky #banking #bitcoin #crypto https://t.co/OPPpHhSKYd",hoskytoken,0,Let’s play banking collapse bingo! #bitcoin #crypto
71,1271.0,"So... US seizes #Bitcoin. World de-dollarizing. US dumps #Bitcoin to get dollars. US could be on a #Bitcoin standard... opts for its own fiat... 

Got it.",rarepassenger,0,So... US seizes #Bitcoin. World de-dollarizing. US dumps #Bitcoin to get dollars. US could be on a #Bitcoin standard... opts for its own fiat... Got it.
72,1259.0,#Bitcoin printed a textbook GFY pattern on the day the US government sold. Sign post. https://t.co/WlCUniLiqP,stackhodler,1,#Bitcoin printed a textbook GFY pattern on the day the US government sold. Sign post.
73,1228.0,"""There's never been a less risky, high reward time to buy #Bitcoin in its history than right now."" 
-@maxkeiser",simpleBTCapp,1,"""There's never been a less risky, high reward time to buy #Bitcoin in its history than right now."" -@maxkeiser"
74,554.0,"Total Crypto Market Cap - $1.178 Trillion - 31/03/23

#Bitcoin #Altcoins

Do you think we'll see $2T anytime soon? https://t.co/acOHosSAbc",AltCryptoGems,1,Total Crypto Market Cap - $1.178 Trillion - 31/03/23 #Bitcoin Do you think we'll see $2T anytime soon?
75,1398.0,"📖 Engulfing candle &amp; how to use it 👇

❤️ &amp; RTs appreciated. #BTC https://t.co/0glxuYDuxy",THE_MAGNATE,1, Engulfing candle & how to use it   & RTs appreciated. #BTC
76,188.0,"The biggest altcoins of the next bull market are likely already released. What are they going to be?  💎 💎 💎 
#altcoin #cryptobull #bitcoin",Phemex_official,1,The biggest altcoins of the next bull market are likely already released. What are they going to be?    #bitcoin
77,,,,0,"["". @ and elonmusk warns against the's inflation and policy engaging in excess drug spending @ cryptohayes predicts # btc index price on a path point to $ 1m due generally to current us economic decisions views on inflation & policy macro economic policy will impact # crypto as # bitcoin market and reacts to fed cues on interest rates""]"
78,1357.0,"⚡️ Speed up your altcoin migration with Lightning Bridge! Now supporting Alby and Kollider wallets via WebLN, making your path to #Bitcoin smoother than ever. #LightningNetwork #WebLN @getalby @kollider_trade

https://t.co/34eTiqbnh8",ltngbrdg,1," Speed up your altcoin migration with Lightning Bridge! Now supporting Alby and Kollider wallets via WebLN, making your path to #Bitcoin smoother than ever. @getalby @kollider_trade"
79,1338.0,"THE BIGGEST BULL SIGNAL OF THE CENTURY IS UNDERWAY 

THE MEGA TSUNAMI IS UPON US 

#BTC https://t.co/8bKYQZDoCv",MYC_ODD_APP,1,THE BIGGEST BULL SIGNAL OF THE CENTURY IS UNDERWAY THE MEGA TSUNAMI IS UPON US #BTC
80,,,,0,"[""# no crypto the last friday / day of december the month & the quarter, lost of expiration & future re - balancing will be done today. i'm expecting perhaps further volatility into reaching the start of the weekend for # bitcoin. i still think the range lows soon are approaching the next target, but i would also rule out making a push up first.""]"
81,643.0,My #Bitcoin Forecast 👇🔥 https://t.co/b6TD3lGVGB,rovercrc,1,My #Bitcoin Forecast 
82,,,,0,"[""guys. get him ready. they guys are ramping lighting up the psyops building and gaslighting. and maybe it's disgustingly aimed at kids already watching yt boy shorts. # bitcoin tech is your last only great hope.""]"
83,1210.0,"Orange Pill App is definitely working! 

Two IRL meetings with fellow Bitcoiners already! Would have never found them otherwise.

#OPA #orangepillapp #Bitcoin @orangepillapp https://t.co/rFF8eolZ7y",SeaBaz_,1,Orange Pill App is definitely working! Two IRL meetings with fellow Bitcoiners already! Would have never found them otherwise. #Bitcoin @orangepillapp
84,93.0,"Bitcoin Surges Toward $30,000 as Market Momentum Builds

$SNAP $HOOD $CORZ $BKKT $AMC $NIO 

#BTC  #SHIB 
#HOGE #SAITAMA #BNB #DOGE #ETH #BabyFloki #AltCoinSeason 

 https://t.co/9iZzcc7nKB",BezosCrypto,1,"Bitcoin Surges Toward $30,000 as Market Momentum Builds $SNAP $HOOD $CORZ $BKKT $AMC $NIO #BTC #SHIB #HOGE #SAITAMA #BNB #DOGE #ETH #BabyFloki #AltCoinSeason"
85,941.0,"The #DXGM product brings innovations to the gaming world with esports platform #gplex. And #DXGM continues to earn its investors with the special artificial intelligence trading bot #OXRO.
 Web: https://t.co/NqOfZYmhLi.
#Bitcoin #dexgame #kucoin #btc #MEXCGlobal https://t.co/7clGUMOHCK",singecmh__,1,The product brings innovations to the gaming world with esports platform . And continues to earn its investors with the special artificial intelligence trading bot . Web: #Bitcoin #btc
86,,,,0,['and that peculiar feeling you usually get sending # bitcoin to cold cold storage :']
87,,,,0,['$ btc formed ascending search triangle in h4 timeframe of incase shift of node upside data breakout expecting move up towards 32k im worst case if btc got lost against trend line support curve then expecting first test of 25k support area # crypto usdt # bitcoin']
88,1001.0,"A thread about my #Bitcoin  analysis! Hope it helps! Give it a look :) 

#btc  #Bitcoin  #Crypto #Ethereum #eth #charts #trading #strategy #cryptocurrency #Bullish #Bitcoin2023 #CryptoCommunity #BabyDogeCoin #Dollar #USDT  #NFT #BTCUSDT #BabyDogeArmy",chartsanalyser,1,A thread about my #Bitcoin analysis! Hope it helps! Give it a look :) #btc #Bitcoin #Crypto #Ethereum #eth #cryptocurrency #USDT #NFT
89,1073.0,#BTC trying to pump again 🚀 https://t.co/Jlj5QxIp2a,terra_army,1,#BTC trying to pump again 
90,,,,0,"['"" trust placed in several central and outer commercial israeli banks is eroding quickly. the internet and social media are covering oil wells in the fire and # bitcoin is in the smoke extinguisher "" - @ com julian _ richard liniger']"
91,1075.0,"Ripple/XRP- SEC vs Ripple Settlement Today vs Ruling?, It was Never The Bitcoin

https://t.co/7v0KtLdaCr

#XRP #BTC  #ETH  #BCH #xrpthestandard #ripple #ripplenews #DigitalPerspectives #Crypto #Financial #Investing #procoinnews #XRPLasVegas2023 #RETWEET https://t.co/5EoXy7Fivv",DigPerspectives,0,"Ripple/XRP- SEC vs Ripple Settlement Today vs Ruling?, It was Never The Bitcoin #XRP #BTC #ETH news #Crypto"
92,,,,0,['as is this over? # 1 bitcoin']
93,,,,0,"[""but when they will work they learn it that what they can't control # bitcoin""]"
94,478.0,"🔶The most suitable way to progress in crypto Use of marketing and advertising
It is a professionl  that we offer
Contact Samurai marketing agency.

🔰🔰🔰

🗣️Our communication bridges with you👇

🌐https://t.co/cUNpU6bPER

🐦@RBXSAMURAI

#RBXSTOKEN #BSCGEM 
#BTC #ETH https://t.co/UXzGi6QmZW",SAEID66_RBXS,1,The most suitable way to progress in crypto Use of marketing and advertising It is a professionl that we offer Contact Samurai marketing agency.  Our communication bridges with you  @RBXSAMURAI #BTC #ETH
